id,gene,n1,n2,n3,n4,descrizione1,descrizione2
T000102,p1@SNORA12,677800,32600,,SNORA12,"small nucleolar RNA, H/ACA box 12","RNA, small nucleolar"
T009375,p2@SNORD97,692223,32760,,SNORD97,"small nucleolar RNA, C/D box 97","RNA, small nucleolar"
T009376,p4@SNORD97,692223,32760,,SNORD97,"small nucleolar RNA, C/D box 97","RNA, small nucleolar"
T009377,p1@SNORD97,692223,32760,,SNORD97,"small nucleolar RNA, C/D box 97","RNA, small nucleolar"
T009378,p3@SNORD97,692223,32760,,SNORD97,"small nucleolar RNA, C/D box 97","RNA, small nucleolar"
T011013,p1@SNORD14D,,30353,,SNORD14D,"small nucleolar RNA, C/D box 14D","RNA, small nucleolar"
T011014,p1@SNORD14C,,30352,,SNORD14C,"small nucleolar RNA, C/D box 14C","RNA, small nucleolar"
T012232,p1@SNORD14A,,10113,,SNORD14A,"small nucleolar RNA, C/D box 14A","RNA, small nucleolar"
T015979,p1@SNORA57,692158,32651,,SNORA57,"small nucleolar RNA, H/ACA box 57","RNA, small nucleolar"
T016083,p1@SNORD22,9304,10145,,SNORD22,"small nucleolar RNA, C/D box 22","RNA, small nucleolar"
T016084,p1@SNORD29,9297,10151,,SNORD29,"small nucleolar RNA, C/D box 29","RNA, small nucleolar"
T016085,p1@SNORD28,9300,10150,,SNORD28,"small nucleolar RNA, C/D box 28","RNA, small nucleolar"
T016086,p1@SNORD26,9302,10148,,SNORD26,"small nucleolar RNA, C/D box 26","RNA, small nucleolar"
T016087,p2@SNHG1,23642,32688,,SNHG1,small nucleolar RNA host gene 1,"RNA, long non-coding"
T016088,p10@SNHG1,,32688,,SNHG1,small nucleolar RNA host gene 1,"RNA, long non-coding"
T016089,p3@SNHG1,,32688,,SNHG1,small nucleolar RNA host gene 1,"RNA, long non-coding"
T016090,p1@SNHG1,23642,32688,,SNHG1,small nucleolar RNA host gene 1,"RNA, long non-coding"
T018500,p2@SNORD15B,114599,16649,,SNORD15B,"small nucleolar RNA, C/D box 15B","RNA, small nucleolar"
T018501,p3@SNORD15B,114599,16649,,SNORD15B,"small nucleolar RNA, C/D box 15B","RNA, small nucleolar"
T018502,p1@SNORD15B,114599,16649,,SNORD15B,"small nucleolar RNA, C/D box 15B","RNA, small nucleolar"
T018938,p2@SNORA52,619565,32645,,SNORA52,"small nucleolar RNA, H/ACA box 52","RNA, small nucleolar"
T019353,p1@SNORA3,619562,32586,,SNORA3A,"small nucleolar RNA, H/ACA box 3A","RNA, small nucleolar"
T019614,p1@SNORA32,692063,32622,,SNORA32,"small nucleolar RNA, H/ACA box 32","RNA, small nucleolar"
T019615,p1@SNORA1,677792,32557,,SNORA1,"small nucleolar RNA, H/ACA box 1","RNA, small nucleolar"
T019616,p1@SNORA8,654320,32596,,SNORA8,"small nucleolar RNA, H/ACA box 8","RNA, small nucleolar"
T019617,p1@SNORD5,692072,32702,,SNORD5,"small nucleolar RNA, C/D box 5","RNA, small nucleolar"
T019618,"p19@TAF1D,p1@SNORA40","79101,677822","32633,28759",,SNORA40,"small nucleolar RNA, H/ACA box 40","RNA, small nucleolar"
T019697,p1@SNORA23,677808,32613,,SNORA23,"small nucleolar RNA, H/ACA box 23","RNA, small nucleolar"
T023112,p1@SNORA49,677829,32642,,SNORA49,"small nucleolar RNA, H/ACA box 49","RNA, small nucleolar"
T027196,p1@SNORD59A,26789,10210,,SNORD59A,"small nucleolar RNA, C/D box 59A","RNA, small nucleolar"
T030833,p1@SNORA53,677832,32646,,SNORA53,"small nucleolar RNA, H/ACA box 53","RNA, small nucleolar"
T032213,p1@SNORD102,26771,10099,,SNORD102,"small nucleolar RNA, C/D box 102","RNA, small nucleolar"
T035295,p1@SNORD113-3,,32982,,SNORD113-3,"small nucleolar RNA, C/D box 113-3","RNA, small nucleolar"
T035297,p1@SNORD113-4,767564,32983,,SNORD113-4,"small nucleolar RNA, C/D box 113-4","RNA, small nucleolar"
T035298,p2@SNORD114-1,767577,32989,,SNORD114-1,"small nucleolar RNA, C/D box 114-1","RNA, small nucleolar"
T035299,p1@SNORD114-1,767577,32989,,SNORD114-1,"small nucleolar RNA, C/D box 114-1","RNA, small nucleolar"
T035300,p1@SNORD114-13,767591,33001,,SNORD114-13,"small nucleolar RNA, C/D box 114-13","RNA, small nucleolar"
T035301,p1@SNORD114-14,767592,33002,,SNORD114-14,"small nucleolar RNA, C/D box 114-14","RNA, small nucleolar"
T035302,p1@SNORD114-19,767597,33007,,SNORD114-19,"small nucleolar RNA, C/D box 114-19","RNA, small nucleolar"
T035303,p1@SNORD114-20,767598,33008,,SNORD114-20,"small nucleolar RNA, C/D box 114-20","RNA, small nucleolar"
T035305,p1@SNORD114-21,767599,33009,,SNORD114-21,"small nucleolar RNA, C/D box 114-21","RNA, small nucleolar"
T036498,p1@SNORD8,319103,20159,,SNORD8,"small nucleolar RNA, C/D box 8","RNA, small nucleolar"
T041886,p6@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
T041887,p9@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
T041888,p8@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
T041889,p7@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
T041890,p2@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
T041891,p3@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
T041892,p1@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
T041894,p4@SNHG10,,27510,,SNHG10,small nucleolar RNA host gene 10,"RNA, long non-coding"
T042333,"p1@SNHG14,p1@SNORD107","91380,347746","32771,37462",,SNORD107,"small nucleolar RNA, C/D box 107","RNA, small nucleolar"
T042338,p1@SNORD64,347686,32725,,SNORD64,"small nucleolar RNA, C/D box 64","RNA, small nucleolar"
T042342,p1@SNORD108,338427,32772,,SNORD108,"small nucleolar RNA, C/D box 108","RNA, small nucleolar"
T042366,p1@SNORD116-13,100033425,33079,,SNORD116-13,"small nucleolar RNA, C/D box 116-13","RNA, small nucleolar"
T042376,p1@SNORD115-23,100033800,33042,,SNORD115-23,"small nucleolar RNA, C/D box 115-23","RNA, small nucleolar"
T042377,p1@SNORD115-32,100033806,33051,,SNORD115-32,"small nucleolar RNA, C/D box 115-32","RNA, small nucleolar"
T045701,p2@SNORD16,595097,32712,,SNORD16,"small nucleolar RNA, C/D box 16","RNA, small nucleolar"
T045702,p1@SNORD18A,595098,32714,,SNORD18A,"small nucleolar RNA, C/D box 18A","RNA, small nucleolar"
T049495,p1@SNORA64,26784,10221,,SNORA64,"small nucleolar RNA, H/ACA box 64","RNA, small nucleolar"
T049498,p3@SNHG9,,33102,,SNHG9,small nucleolar RNA host gene 9,"RNA, long non-coding"
T049499,p4@SNHG9,735301,33102,,SNHG9,small nucleolar RNA host gene 9,"RNA, long non-coding"
T049500,p1@SNHG9,735301,33102,,SNHG9,small nucleolar RNA host gene 9,"RNA, long non-coding"
T049501,p2@SNHG9,735301,33102,,SNHG9,small nucleolar RNA host gene 9,"RNA, long non-coding"
T049502,p1@SNORA78,677844,32664,,SNORA78,"small nucleolar RNA, H/ACA box 78","RNA, small nucleolar"
T049503,p3@SNORA78,677844,32664,,SNORA78,"small nucleolar RNA, H/ACA box 78","RNA, small nucleolar"
T049789,p2@SNORD60,26788,10217,,SNORD60,"small nucleolar RNA, C/D box 60","RNA, small nucleolar"
T049790,p1@SNORD60,26788,10217,,SNORD60,"small nucleolar RNA, C/D box 60","RNA, small nucleolar"
T053535,p1@SNORD111B,100113402,33579,,SNORD111B,"small nucleolar RNA, C/D box 111B","RNA, small nucleolar"
T053536,p4@SNORD111B,,33579,,SNORD111B,"small nucleolar RNA, C/D box 111B","RNA, small nucleolar"
T053678,p1@SNORD71,692111,32732,,SNORD71,"small nucleolar RNA, C/D box 71","RNA, small nucleolar"
T055159,p1@SNORD68,606500,32729,,SNORD68,"small nucleolar RNA, C/D box 68","RNA, small nucleolar"
T055160,p2@SNORD68,606500,32729,,SNORD68,"small nucleolar RNA, C/D box 68","RNA, small nucleolar"
T055808,p1@SNORD49B,692087,32721,,SNORD49B,"small nucleolar RNA, C/D box 49B","RNA, small nucleolar"
T055809,p1@SNORD65,692106,32726,,SNORD65,"small nucleolar RNA, C/D box 65","RNA, small nucleolar"
T056102,p1@SNORD3D,,33192,,SNORD3D,"small nucleolar RNA, C/D box 3D","RNA, small nucleolar"
T056104,p1@SNORD3A,,33189,,SNORD3A,"small nucleolar RNA, C/D box 3A","RNA, small nucleolar"
T056690,p1@SNORD42B,26808,10181,,SNORD42B,"small nucleolar RNA, C/D box 42B","RNA, small nucleolar"
T056691,p1@SNORD42A,26809,10180,,SNORD42A,"small nucleolar RNA, C/D box 42A","RNA, small nucleolar"
T056692,p1@SNORD4B,,10098,,SNORD4B,"small nucleolar RNA, C/D box 4B","RNA, small nucleolar"
T057724,p1@SNORA21,619505,32611,,SNORA21,"small nucleolar RNA, H/ACA box 21","RNA, small nucleolar"
T061810,p1@SNORD104,692227,32768,,SNORD104,"small nucleolar RNA, C/D box 104","RNA, small nucleolar"
T061811,p2@SNORD104,692227,32768,,SNORD104,"small nucleolar RNA, C/D box 104","RNA, small nucleolar"
T061813,p1@SNORA76,677842,32662,,SNORA50C,"small nucleolar RNA, H/ACA box 50C","RNA, small nucleolar"
T063530,p1@SNORD1C,"100507246,677850",32677,F2Z347,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
T063531,p5@SNORD1C,677850,32677,F2Z347,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
T063532,p3@SNORD1C,677850,32677,F2Z347,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
T063533,p2@SNORD1C,677850,32677,F2Z347,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
T063534,p4@SNORD1C,677850,32677,,SNORD1C,"small nucleolar RNA, C/D box 1C","RNA, small nucleolar"
