id,gene,n1,n2,n3,n4,descrizione1,descrizione2
0,p3@CYP17A1,1586,2593,,CYP17A1,cytochrome P450 family 17 subfamily A member 1,gene with protein product
1,p2@CYP17A1,1586,2593,,CYP17A1,cytochrome P450 family 17 subfamily A member 1,gene with protein product
2,p1@CYP17A1,1586,2593,,CYP17A1,cytochrome P450 family 17 subfamily A member 1,gene with protein product
3,p5@CYP17A1,1586,2593,"P05093,Q1HB44",CYP17A1,cytochrome P450 family 17 subfamily A member 1,gene with protein product
4,p4@CYP17A1,1586,2593,"P05093,Q1HB44",CYP17A1,cytochrome P450 family 17 subfamily A member 1,gene with protein product
5,p6@CYP17A1,1586,2593,"P05093,Q1HB44",CYP17A1,cytochrome P450 family 17 subfamily A member 1,gene with protein product
6,p9@FGFR2,2263,3689,,FGFR2,fibroblast growth factor receptor 2,gene with protein product
7,p13@FGFR2,2263,3689,,FGFR2,fibroblast growth factor receptor 2,gene with protein product
8,p6@FGFR2,2263,3689,,FGFR2,fibroblast growth factor receptor 2,gene with protein product
9,p2@FGFR2,2263,3689,,FGFR2,fibroblast growth factor receptor 2,gene with protein product
10,p1@FGFR2,2263,3689,"P21802,E7EVR7",FGFR2,fibroblast growth factor receptor 2,gene with protein product
11,p7@FGFR2,2263,3689,P21802,FGFR2,fibroblast growth factor receptor 2,gene with protein product
12,p4@FGFR2,2263,3689,P21802,FGFR2,fibroblast growth factor receptor 2,gene with protein product
13,p3@FGFR2,2263,3689,P21802,FGFR2,fibroblast growth factor receptor 2,gene with protein product
14,p5@FGFR2,2263,3689,P21802,FGFR2,fibroblast growth factor receptor 2,gene with protein product
15,p3@MKI67,4288,7107,,MKI67,marker of proliferation Ki-67,gene with protein product
16,p8@MKI67,4288,7107,,MKI67,marker of proliferation Ki-67,gene with protein product
17,p4@MKI67,4288,7107,P46013,MKI67,marker of proliferation Ki-67,gene with protein product
18,p1@MKI67,4288,7107,P46013,MKI67,marker of proliferation Ki-67,gene with protein product
19,p2@MKI67,4288,7107,P46013,MKI67,marker of proliferation Ki-67,gene with protein product
20,p7@MKI67,4288,7107,P46013,MKI67,marker of proliferation Ki-67,gene with protein product
21,p9@MKI67,4288,7107,P46013,MKI67,marker of proliferation Ki-67,gene with protein product
22,"p2@COMMD3,p4@BMI1","100532731,648,23412","1066,23332",Q5T8Z1,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
23,"p3@COMMD3,p9@BMI1","100532731,648,23412","1066,23332",Q5T8Z1,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
24,"p14@BMI1,p4@COMMD3","100532731,648,23412","1066,23332",Q5T8Z1,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
25,p1@BMI1,"100532731,648",1066,E9PC92,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
26,p16@BMI1,648,1066,P35226,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
27,p2@BMI1,"100532731,648",1066,P35226,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
28,p7@BMI1,"100532731,648",1066,P35226,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
29,p6@BMI1,"100532731,648",1066,P35226,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
30,p11@BMI1,"100532731,648",1066,P35226,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
31,p15@BMI1,"100532731,648",1066,P35226,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
32,p8@BMI1,"100532731,648",1066,P35226,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
33,p19@BMI1,"100532731,648",1066,P35226,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
34,p5@BMI1,"100532731,648",1066,P35226,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
35,p18@BMI1,"100532731,648",1066,Q5T8Z4,BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
36,p3@BMI1,"100532731,648",1066,"Q5T8Z6,Q5T8Z5",BMI1,"BMI1 proto-oncogene, polycomb ring finger",gene with protein product
37,p5@ZEB1,6935,11642,,ZEB1,zinc finger E-box binding homeobox 1,gene with protein product
38,p3@ZEB1,6935,11642,G3V1R3,ZEB1,zinc finger E-box binding homeobox 1,gene with protein product
39,p6@ZEB1,6935,11642,,ZEB1,zinc finger E-box binding homeobox 1,gene with protein product
40,p1@ZEB1,6935,11642,"F6TDF5,Q5VZ84,F5H8J0,F5H4I8,F5H838",ZEB1,zinc finger E-box binding homeobox 1,gene with protein product
41,p20@ZEB1,6935,11642,,ZEB1,zinc finger E-box binding homeobox 1,gene with protein product
42,p21@ZEB1,6935,11642,,ZEB1,zinc finger E-box binding homeobox 1,gene with protein product
43,p22@ZEB1,6935,11642,,ZEB1,zinc finger E-box binding homeobox 1,gene with protein product
44,p2@ZEB1,6935,11642,,ZEB1,zinc finger E-box binding homeobox 1,gene with protein product
45,p19@ZEB1,6935,11642,,ZEB1,zinc finger E-box binding homeobox 1,gene with protein product
46,p5@ITGB1,3688,6153,,ITGB1,integrin subunit beta 1,gene with protein product
47,p9@ITGB1,3688,6153,P05556,ITGB1,integrin subunit beta 1,gene with protein product
48,p6@ITGB1,3688,6153,P05556,ITGB1,integrin subunit beta 1,gene with protein product
49,p12@ITGB1,3688,6153,,ITGB1,integrin subunit beta 1,gene with protein product
50,p7@ITGB1,3688,6153,,ITGB1,integrin subunit beta 1,gene with protein product
51,p15@ITGB1,3688,6153,"C9JJP8,P05556",ITGB1,integrin subunit beta 1,gene with protein product
52,p16@ITGB1,3688,6153,P05556,ITGB1,integrin subunit beta 1,gene with protein product
53,p4@ITGB1,3688,6153,P05556,ITGB1,integrin subunit beta 1,gene with protein product
54,p11@ITGB1,3688,6153,P05556,ITGB1,integrin subunit beta 1,gene with protein product
55,p8@ITGB1,3688,6153,P05556,ITGB1,integrin subunit beta 1,gene with protein product
56,p2@ITGB1,3688,6153,P05556,ITGB1,integrin subunit beta 1,gene with protein product
57,p1@ITGB1,3688,6153,"P05556,Q5T3E4,Q5T3E5,C9JPK5,E7EUI6",ITGB1,integrin subunit beta 1,gene with protein product
58,p3@ITGB1,3688,6153,P05556,ITGB1,integrin subunit beta 1,gene with protein product
59,p14@ITGB1,3688,6153,E9PLR6,ITGB1,integrin subunit beta 1,gene with protein product
60,p1@CXCL12,6387,10672,P48061,CXCL12,C-X-C motif chemokine ligand 12,gene with protein product
61,p1@SIRT1,23411,14929,Q96EB6,SIRT1,sirtuin 1,gene with protein product
62,p2@SIRT1,23411,14929,Q96EB6,SIRT1,sirtuin 1,gene with protein product
63,p4@PLAU,5328,9052,,PLAU,"plasminogen activator, urokinase",gene with protein product
64,p6@PLAU,5328,9052,,PLAU,"plasminogen activator, urokinase",gene with protein product
65,p28@PLAU,5328,9052,,PLAU,"plasminogen activator, urokinase",gene with protein product
66,p15@PLAU,5328,9052,,PLAU,"plasminogen activator, urokinase",gene with protein product
67,p27@PLAU,5328,9052,,PLAU,"plasminogen activator, urokinase",gene with protein product
68,p25@PLAU,5328,9052,"E7ET40,P00749,Q59GZ8",PLAU,"plasminogen activator, urokinase",gene with protein product
69,p1@PLAU,5328,9052,,PLAU,"plasminogen activator, urokinase",gene with protein product
